,Unnamed: 0,parent_id,phecode,node_id,phenotype,phecode_exclude_range,sex,rollup,leaf,category_number,category
0,0,-1,8,0,Intestinal infection,001-009.99,,1,0,1,infectious diseases
1,1,0,8.5,1,Bacterial enteritis,001-009.99,Both,1,0,1,infectious diseases
2,2,1,8.51,2,Intestinal e.coli,001-009.99,Both,1,1,1,infectious diseases
3,3,1,8.52,3,Intestinal infection due to C. difficile,001-009.99,Both,1,1,1,infectious diseases
4,4,0,8.6,4,Viral Enteritis,001-009.99,Both,1,1,1,infectious diseases
5,5,0,8.7,5,Intestinal infection due to protozoa,001-009.99,Both,1,1,1,infectious diseases
6,6,-1,10,6,Tuberculosis,010-041.99,,1,1,1,infectious diseases
7,7,-1,31,7,Diseases due to other mycobacteria,010-041.99,,1,0,1,infectious diseases
8,8,7,31.1,8,Leprosy,010-041.99,Both,1,1,1,infectious diseases
9,9,-1,38,9,Septicemia,010-041.99,,1,0,1,infectious diseases
10,10,9,38.1,10,Gram negative septicemia,010-041.99,Both,1,1,1,infectious diseases
11,11,9,38.2,11,Gram positive septicemia,010-041.99,Both,1,1,1,infectious diseases
12,12,-1,41,12,Bacterial infection NOS,010-041.99,,1,0,1,infectious diseases
13,13,12,41.1,13,Staphylococcus infections,010-041.99,Both,1,0,1,infectious diseases
14,14,12,41.2,14,Streptococcus infection,010-041.99,Both,1,0,1,infectious diseases
15,15,14,41.21,15,Rheumatic fever / chorea,010-041.99,Both,1,1,1,infectious diseases
16,16,12,41.4,16,E. coli,010-041.99,Both,1,1,1,infectious diseases
17,17,-1,53,17,Herpes zoster,050-079.99,,1,0,1,infectious diseases
18,18,17,53.1,18,Herpes zoster with nervous system complications,050-079.99,Both,1,1,1,infectious diseases
19,19,-1,54,19,Herpes simplex,050-079.99,,1,1,1,infectious diseases
20,20,-1,70,20,Viral hepatitis,050-079.99,Both,1,0,1,infectious diseases
21,21,20,70.1,21,Viral hepatitis A,050-079.99,Both,1,1,1,infectious diseases
22,22,20,70.2,22,Viral hepatitis B,050-079.99,Both,1,1,1,infectious diseases
23,23,20,70.3,23,Viral hepatitis C,050-079.99,Both,1,1,1,infectious diseases
24,24,20,70.4,24,Chronic hepatitis,050-079.99,Both,0,1,1,infectious diseases
25,25,20,70.9,25,Hepatitis NOS,050-079.99,Both,0,1,1,infectious diseases
26,26,-1,71.1,26,"HIV infection, symptomatic",050-079.99,Both,1,1,1,infectious diseases
27,27,-1,78,27,Viral warts & HPV,050-079.99,,1,1,1,infectious diseases
28,28,-1,79,28,Viral infection,050-079.99,,1,0,1,infectious diseases
29,29,28,79.1,29,Varicella infection,050-079.99,Both,1,1,1,infectious diseases
30,30,28,79.2,30,Infectious mononucleosis,050-079.99,Both,1,1,1,infectious diseases
31,31,-1,80,31,Postoperative infection,080-082.99,,1,1,1,infectious diseases
32,32,-1,81,32,Infection/inflammation of internal prosthetic device; implant; and graft,080-082.99,,1,0,1,infectious diseases
33,33,-1,90,33,Sexually transmitted infections (not HIV or hepatitis),090-092.99,,1,0,1,infectious diseases
34,34,33,90.2,34,Gonococcal infections,090-092.99,Both,1,1,1,infectious diseases
35,35,33,90.3,35,Venereal diseases due to Chlamydia trachomatis,090-092.99,Both,1,1,1,infectious diseases
36,36,-1,110.1,36,Dermatophytosis,110-118.99,Both,1,0,1,infectious diseases
37,37,36,110.11,37,Dermatophytosis of nail,110-118.99,Both,1,1,1,infectious diseases
38,38,36,110.12,38,Althete's foot,110-118.99,Both,1,1,1,infectious diseases
39,39,36,110.13,39,Dermatophytosis of the body,110-118.99,Both,1,1,1,infectious diseases
40,40,-1,110.2,40,Dermatomycoses,110-118.99,Both,1,1,1,infectious diseases
41,41,-1,112,41,Candidiasis,110-118.99,Both,1,0,1,infectious diseases
42,42,41,112.3,42,Candidiasis of skin and nails,110-118.99,Both,1,1,1,infectious diseases
43,43,-1,117,43,Mycoses,110-118.99,,1,0,1,infectious diseases
44,44,43,117.1,44,Histoplasmosis,110-118.99,Both,1,1,1,infectious diseases
45,45,43,117.2,45,Coccidioidomycosis,110-118.99,Both,1,1,1,infectious diseases
46,46,43,117.3,46,Blastomycotic infection,110-118.99,Both,1,1,1,infectious diseases
47,47,43,117.4,47,Aspergillosis,110-118.99,Both,1,1,1,infectious diseases
48,48,-1,130,48,Spirochetal infection,130-136.99,,1,0,1,infectious diseases
49,49,48,130.1,49,Lyme disease,130-136.99,Both,1,1,1,infectious diseases
50,50,-1,131,50,Protozoan infection,130-136.99,Both,1,1,1,infectious diseases
51,51,-1,132,51,"Infestation (lice, mites)",130-136.99,,1,0,1,infectious diseases
52,52,51,132.1,52,Pediculosis and phthirus infestation,130-136.99,Both,1,1,1,infectious diseases
53,53,-1,133,53,Arthropod-borne diseases,130-136.99,,1,1,1,infectious diseases
54,54,-1,134,54,Helminthiases,130-136.99,,1,0,1,infectious diseases
55,55,54,134.1,55,Intestinal helminthiases,130-136.99,Both,1,1,1,infectious diseases
56,56,-1,136,56,Other infectious and parasitic diseases,130-136.99,,1,1,1,infectious diseases
57,57,-1,145,57,Cancer of mouth,"140-149.99, 210-210.99",Both,1,0,2,neoplasms
58,58,57,145.1,58,Cancer of lip,"140-149.99, 210-210.99",Both,1,1,2,neoplasms
59,59,57,145.2,59,Cancer of tongue,"140-149.99, 210-210.99",Both,1,1,2,neoplasms
60,60,57,145.3,60,Cancer of major salivary glands,"140-149.99, 210-210.99",Both,1,1,2,neoplasms
61,61,57,145.4,61,Cancer of the gums,"140-149.99, 210-210.99",Both,1,1,2,neoplasms
62,62,57,145.5,62,Cancer of the mouth floor,"140-149.99, 210-210.99",Both,1,1,2,neoplasms
63,63,-1,149,63,"Cancer of larynx, pharynx, nasal cavities","140-149.99, 210-210.99",Both,1,0,2,neoplasms
64,64,63,149.1,64,Cancer of oropharynx,"140-149.99, 210-210.99",Both,1,1,2,neoplasms
65,65,63,149.2,65,Cancer of nasopharynx,"140-149.99, 210-210.99",Both,1,1,2,neoplasms
66,66,63,149.3,66,Cancer of hypopharynx,"140-149.99, 210-210.99",Both,1,1,2,neoplasms
67,67,63,149.4,67,Cancer of larynx,"140-149.99, 210-210.99",Both,1,1,2,neoplasms
68,68,63,149.9,68,Cancer of of nasal cavities,"140-149.99, 210-210.99",Both,1,1,2,neoplasms
69,69,-1,150,69,Cancer of esophagus,"140-159.99, 210-211.99",,1,1,2,neoplasms
70,70,-1,151,70,Cancer of stomach,"140-159.99, 210-211.99",,1,1,2,neoplasms
71,71,-1,153,71,Colorectal cancer,"150-159.99, 208-208.99",Both,1,0,2,neoplasms
72,72,71,153.2,72,Colon cancer,"150-159.99, 208-208.99",Both,1,1,2,neoplasms
73,73,71,153.3,73,"Malignant neoplasm of rectum, rectosigmoid junction, and anus","150-159.99, 208-208.99",Both,1,1,2,neoplasms
74,74,-1,155,74,Cancer of liver and intrahepatic bile duct,"140-159.99, 210-211.99",,1,0,2,neoplasms
75,75,74,155.1,75,"Malignant neoplasm of liver, primary","140-159.99, 210-211.99",Both,1,1,2,neoplasms
76,76,-1,157,76,Pancreatic cancer,"140-159.99, 210-211.99",,1,1,2,neoplasms
77,77,-1,158,77,Neoplasm of unspecified nature of digestive system,"140-159.99, 210-211.99",Both,1,1,2,neoplasms
78,78,-1,159,78,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,"140-159.99, 210-211.99",,1,0,2,neoplasms
79,79,78,159.2,79,"Malignant neoplasm of small intestine, including duodenum","140-159.99, 210-211.99",Both,1,1,2,neoplasms
80,80,78,159.3,80,Malignant neoplasm of gallbladder and extrahepatic bile ducts,"140-159.99, 210-211.99",Both,1,1,2,neoplasms
81,81,78,159.4,81,Malignant neoplasm of retroperitoneum and peritoneum,"140-159.99, 210-211.99",Both,1,1,2,neoplasms
82,82,-1,164,82,Cancer of intrathoracic organs,160-165.99,,1,1,2,neoplasms
83,83,-1,165,83,Cancer within the respiratory system,160-165.99,,1,0,2,neoplasms
84,84,83,165.1,84,Cancer of bronchus; lung,160-165.99,Both,1,1,2,neoplasms
85,85,-1,170.1,85,Bone cancer,170-171.99,Both,1,1,2,neoplasms
86,86,-1,170.2,86,Cancer of connective tissue,170-171.99,Both,1,1,2,neoplasms
87,87,-1,172.11,87,Melanomas of skin,172-173.99,Both,1,1,2,neoplasms
88,88,-1,172.2,88,Other non-epithelial cancer of skin,172-173.99,Both,1,0,2,neoplasms
89,89,-1,172.3,89,Carcinoma in situ of skin,172-173.99,Both,1,1,2,neoplasms
90,90,-1,173,90,Neoplasm of uncertain behavior of skin,172-173.99,Both,1,1,2,neoplasms
91,91,-1,174.1,91,Breast cancer [female],"174-184.99, 610-610.99",Female,1,0,2,neoplasms
92,92,91,174.11,92,Malignant neoplasm of female breast,"174-184.99, 610-610.99",Female,1,1,2,neoplasms
93,93,-1,174.3,93,Neoplasm of uncertain behavior of breast,"174-184.99, 610-610.99",Both,1,1,2,neoplasms
94,94,-1,175,94,Acquired absence of breast,"174-184.99, 610-611.99",Female,1,1,2,neoplasms
95,95,-1,180.1,95,Cervical cancer,"174-184.99, 218-218.99, 792-792.99",Female,1,1,2,neoplasms
96,96,-1,180.3,96,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],"174-184.99, 218-218.99, 792-792.99",Female,1,1,2,neoplasms
97,97,-1,182,97,Malignant neoplasm of uterus,"174-184.99, 218-218.99",Female,1,1,2,neoplasms
98,98,-1,184,98,Cancer of other female genital organs,"174-184.99, 220-221.99",Female,1,0,2,neoplasms
99,99,98,184.1,99,Malignant neoplasm of ovary and other uterine adnexa,"174-184.99, 220-221.99",Female,1,0,2,neoplasms
