,Unnamed: 0,ALT_CODE,ICD10,PHECODE,Excl. Phecodes,ICD10 String,Phenotype,Excl. Phenotypes,ICD10_NOX
0,0,A00,A00,8.0,001-009.99,Cholera,Intestinal infection,Intestinal infection,A00
1,1,A000,A00.0,8.0,001-009.99,"Cholera due to Vibrio cholerae 01, biovar cholerae",Intestinal infection,Intestinal infection,A000
2,2,A001,A00.1,8.0,001-009.99,"Cholera due to Vibrio cholerae 01, biovar eltor",Intestinal infection,Intestinal infection,A001
3,3,A009,A00.9,8.0,001-009.99,"Cholera, unspecified",Intestinal infection,Intestinal infection,A009
4,4,A01,A01,8.0,001-009.99,Typhoid and paratyphoid fevers,Intestinal infection,Intestinal infection,A01
5,5,A010,A01.0,8.5,001-009.99,Typhoid fever,Bacterial enteritis,Intestinal infection,A010
6,6,A011,A01.1,8.0,001-009.99,Paratyphoid fever A,Intestinal infection,Intestinal infection,A011
7,7,A012,A01.2,8.0,001-009.99,Paratyphoid fever B,Intestinal infection,Intestinal infection,A012
8,8,A013,A01.3,8.0,001-009.99,Paratyphoid fever C,Intestinal infection,Intestinal infection,A013
9,9,A014,A01.4,8.0,001-009.99,"Paratyphoid fever, unspecified",Intestinal infection,Intestinal infection,A014
10,10,A02,A02,8.5,001-009.99,Other salmonella infections,Bacterial enteritis,Intestinal infection,A02
11,11,A020,A02.0,8.5,001-009.99,Salmonella enteritis,Bacterial enteritis,Intestinal infection,A020
12,12,A021,A02.1,38.1,010-041.99,Salmonella sepsis,Gram negative septicemia,bacterial infection,A021
13,13,A022,A02.2,8.5,001-009.99,Localized salmonella infections,Bacterial enteritis,Intestinal infection,A022
14,14,A028,A02.8,8.5,001-009.99,Other specified salmonella infections,Bacterial enteritis,Intestinal infection,A028
15,15,A029,A02.9,8.5,001-009.99,"Salmonella infection, unspecified",Bacterial enteritis,Intestinal infection,A029
16,16,A03,A03,8.5,001-009.99,Shigellosis,Bacterial enteritis,Intestinal infection,A03
17,17,A030,A03.0,8.5,001-009.99,Shigellosis due to Shigella dysenteriae,Bacterial enteritis,Intestinal infection,A030
18,18,A031,A03.1,8.5,001-009.99,Shigellosis due to Shigella flexneri,Bacterial enteritis,Intestinal infection,A031
19,19,A032,A03.2,8.5,001-009.99,Shigellosis due to Shigella boydii,Bacterial enteritis,Intestinal infection,A032
20,20,A033,A03.3,8.5,001-009.99,Shigellosis due to Shigella sonnei,Bacterial enteritis,Intestinal infection,A033
21,21,A038,A03.8,8.5,001-009.99,Other shigellosis,Bacterial enteritis,Intestinal infection,A038
22,22,A039,A03.9,8.5,001-009.99,"Shigellosis, unspecified",Bacterial enteritis,Intestinal infection,A039
23,23,A040,A04.0,8.51,001-009.99,Enteropathogenic Escherichia coli infection,Intestinal e.coli,Intestinal infection,A040
24,24,A041,A04.1,8.51,001-009.99,Enterotoxigenic Escherichia coli infection,Intestinal e.coli,Intestinal infection,A041
25,25,A042,A04.2,8.51,001-009.99,Enteroinvasive Escherichia coli infection,Intestinal e.coli,Intestinal infection,A042
26,26,A043,A04.3,8.51,001-009.99,Enterohaemorrhagic Escherichia coli infection,Intestinal e.coli,Intestinal infection,A043
27,27,A044,A04.4,8.51,001-009.99,Other intestinal Escherichia coli infections,Intestinal e.coli,Intestinal infection,A044
28,28,A045,A04.5,8.5,001-009.99,Campylobacter enteritis,Bacterial enteritis,Intestinal infection,A045
29,29,A046,A04.6,8.5,001-009.99,Enteritis due to Yersinia enterocolitica,Bacterial enteritis,Intestinal infection,A046
30,30,A047,A04.7,8.52,001-009.99,Enterocolitis due to Clostridium difficile,Intestinal infection due to C. difficile,Intestinal infection,A047
31,31,A048,A04.8,8.5,001-009.99,Other specified bacterial intestinal infections,Bacterial enteritis,Intestinal infection,A048
32,32,A049,A04.9,8.5,001-009.99,"Bacterial intestinal infection, unspecified",Bacterial enteritis,Intestinal infection,A049
33,33,A050,A05.0,8.5,001-009.99,Foodborne staphylococcal intoxication,Bacterial enteritis,Intestinal infection,A050
34,34,A051,A05.1,8.5,001-009.99,Botulism,Bacterial enteritis,Intestinal infection,A051
35,35,A052,A05.2,8.5,001-009.99,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Bacterial enteritis,Intestinal infection,A052
36,36,A053,A05.3,8.5,001-009.99,Foodborne Vibrio parahaemolyticus intoxication,Bacterial enteritis,Intestinal infection,A053
37,37,A054,A05.4,8.5,001-009.99,Foodborne Bacillus cereus intoxication,Bacterial enteritis,Intestinal infection,A054
38,38,A058,A05.8,8.5,001-009.99,Other specified bacterial foodborne intoxications,Bacterial enteritis,Intestinal infection,A058
39,39,A059,A05.9,8.0,001-009.99,"Bacterial foodborne intoxication, unspecified",Intestinal infection,Intestinal infection,A059
40,40,A06,A06,8.0,001-009.99,Amoebiasis,Intestinal infection,Intestinal infection,A06
41,41,A060,A06.0,8.0,001-009.99,Acute amoebic dysentery,Intestinal infection,Intestinal infection,A060
42,42,A061,A06.1,8.7,001-009.99,Chronic intestinal amoebiasis,Intestinal infection due to protozoa,Intestinal infection,A061
43,43,A062,A06.2,8.0,001-009.99,Amoebic nondysenteric colitis,Intestinal infection,Intestinal infection,A062
44,44,A063,A06.3,8.0,001-009.99,Amoeboma of intestine,Intestinal infection,Intestinal infection,A063
45,45,A064,A06.4,8.0,001-009.99,Amoebic liver abscess,Intestinal infection,Intestinal infection,A064
46,46,A065,A06.5,8.0,001-009.99,Amoebic lung abscess,Intestinal infection,Intestinal infection,A065
